,doi,country,city,region,lat,long,X
1,http://dx.doi.org/10.1016/j.compscitech.2007.05.021,China,Beijing,,39.93084,116.38634,NA
2,http://dx.doi.org/10.1016/j.compscitech.2007.05.021,France,Chatenay Malabry Cedex,,48.76643,48.76643,NA
3,http://dx.doi.org/10.1016/j.jeurceramsoc.2007.02.082,Finland,Oulu,,65.01265,25.47139,NA
4,http://dx.doi.org/10.1016/j.jeurceramsoc.2007.02.082,Finland,Rajamaki,,60.52846,24.75442,NA
5,http://dx.doi.org/10.1002/adma.200801758,China,Kowloon,Hong Kong,22.3116452,114.1767885,NA
6,http://dx.doi.org/10.1002/adma.200401816,USA,Clemson,SC,34.6850749,-82.8364111,NA
7,http://dx.doi.org/10.1002/adma.200401816,USA,Durham,NC,35.996653,-78.9018053,NA
8,http://dx.doi.org/10.1002/adma.200401816,USA,Richland,WA,46.2804298,-119.2752055,NA
9,http://dx.doi.org/10.1002/adma.200602097,China,Beijing,,39.9020803,116.7185213,NA
10,http://dx.doi.org/10.1002/adfm.200700200,China,Beijing,,39.9020803,116.7185213,NA
11,http://dx.doi.org/10.1109/T-DEI.2008.4446732,India,Bangalore,,12.9791198,77.5912997,NA
12,http://dx.doi.org/10.1109/TDEI.2009.4815189,India,Bangalore,,12.9791198,77.5912997,NA
13,http://dx.doi.org/10.1109/ECTC.2004.1319391,USA,Atlanta,GA,33.7489924,-84.3902644,NA
14,http://dx.doi.org/10.1007/s10853-006-0331-1,USA,La Jolla,CA,32.83259,-117.2716839,NA
15,http://dx.doi.org/10.1007/s10853-006-0331-1,USA,Troy,NY,42.728867,42.728867,NA
16,http://dx.doi.org/10.1007/s10853-006-0331-1,Sweden,Vasteras,,65.1720218,17.934883,NA
17,http://dx.doi.org/10.1002/app.11475,India,Kharagpur,,22.3183986,87.2583576,NA
18,http://dx.doi.org/10.1016/j.compositesa.2005.02.006,Israel,Rehovot,,31.8952532,34.8105616,NA
19,http://dx.doi.org/10.1016/j.compositesa.2005.02.006,Germany,Hamburg,,53.550341,10.000654,NA
20,http://dx.doi.org/10.1016/S0009-2614(01)00186-5,Singapore,,,1.357107,103.8194992,NA
21,http://dx.doi.org/10.1063/1.2034654,Australia,Melbourne,Victoria,-37.8142176,144.9631608,NA
22,http://dx.doi.org/10.1088/0022-3727/38/2/005,USA,Troy,NY,42.728867,42.728867,NA
23,http://dx.doi.org/10.1109/CEIDP.2008.4772933,Japan,Toyohashi,,34.769123,137.391461,NA
24,http://dx.doi.org/10.1109/CEIDP.2008.4772933,Japan,Hitachi,,36.5991225,140.6504604,NA
25,http://dx.doi.org/10.1109/T-DEI.2008.4446750,USA,Troy,NY,42.728867,42.728867,NA
