"","iElectron","t","ix","iy","iz"
"1",128,0,195,202,0
"2",129,0,84,155,0
"3",130,0,241,108,0
"4",131,0,105,13,0
"5",132,0,133,137,0
"6",133,0,218,61,0
"7",134,0,136,143,0
"8",135,0,83,93,0
"9",136,0,104,98,0
"10",137,0,191,59,0
"11",138,0,48,18,0
"12",139,0,109,14,0
"13",140,0,85,102,0
"14",141,0,60,93,0
"15",142,0,177,184,0
"16",143,0,115,9,0
"17",142,3.371894e-15,176,185,0
"18",143,7.135784e-15,115,9,2
"19",142,8.530419e-15,175,185,0
"20",142,3.301178e-14,174,187,0
"21",142,3.368645e-14,174,186,2
"22",140,3.374964e-14,85,104,1
"23",140,3.584247e-14,84,106,3
"24",129,4.433341e-14,84,154,0
"25",128,4.495081e-14,196,200,0
"26",136,5.486737e-14,101,98,1
"27",140,5.880969e-14,83,107,0
"28",128,6.048864e-14,197,200,0
"29",135,8.079654e-14,80,94,0
"30",138,8.78038e-14,47,19,1
"31",131,9.459175e-14,106,10,1
"32",136,1.000787e-13,100,97,2
"33",142,1.037519e-13,172,184,2
"34",142,1.067259e-13,174,185,6
"35",141,1.096665e-13,63,92,2
"36",139,1.164783e-13,110,16,0
"37",141,1.171973e-13,59,91,2
"38",130,1.407227e-13,241,106,1
"39",137,1.53891e-13,192,57,3
"40",138,1.545173e-13,43,19,4
"41",142,1.571931e-13,172,187,7
"42",142,1.700295e-13,172,189,11
"43",138,1.703344e-13,40,20,7
"44",131,1.728691e-13,106,10,5
"45",142,1.827079e-13,170,189,11
"46",141,1.961875e-13,61,92,2
"47",138,1.966494e-13,40,20,8
"48",133,2.102549e-13,218,60,2
"49",133,2.114759e-13,217,56,1
"50",131,2.18055e-13,105,13,3
"51",135,2.216543e-13,80,93,0
"52",137,2.300952e-13,191,58,4
"53",136,2.327354e-13,99,96,1
"54",134,2.349709e-13,137,143,2
"55",136,2.472378e-13,97,93,1
"56",129,2.636595e-13,85,153,0
"57",142,2.951499e-13,169,190,13
"58",128,2.966519e-13,196,199,0
"59",133,2.997215e-13,221,58,2
"60",142,3.03877e-13,167,192,14
"61",142,3.085986e-13,167,194,14
"62",134,3.123387e-13,138,143,2
"63",141,3.737522e-13,62,92,1
"64",143,3.759339e-13,114,6,5
"65",142,4.055557e-13,166,193,15
"66",136,4.113542e-13,98,91,1
"67",141,4.538449e-13,63,90,4
"68",142,4.996585e-13,164,194,16
"69",133,5.848584e-13,217,59,4
"70",142,6.172006e-13,164,191,17
"71",131,6.198956e-13,103,12,6
"72",142,6.264117e-13,166,190,18
"73",142,6.398164e-13,165,190,19
"74",142,6.448913e-13,167,189,21
"75",130,6.923864e-13,240,105,1
"76",129,7.232543e-13,88,153,0
"77",136,7.367147e-13,99,92,1
"78",131,7.40877e-13,99,12,8
"79",136,7.444057e-13,98,92,3
"80",142,7.55485e-13,169,190,21
"81",131,7.67785e-13,101,14,8
"82",143,8.169095e-13,113,7,7
"83",129,8.461037e-13,91,154,1
"84",131,8.567837e-13,97,16,8
"85",129,8.877445e-13,92,154,1
"86",136,8.931027e-13,98,93,2
"87",131,8.97472e-13,101,17,8
"88",134,9.261367e-13,141,144,4
"89",139,9.341421e-13,107,17,3
"90",129,9.383723e-13,94,154,2
"91",136,9.440593e-13,99,93,1
"92",131,9.463084e-13,103,18,8
"93",142,9.520555e-13,170,189,20
"94",142,9.736233e-13,171,189,22
"95",133,9.74166e-13,219,57,6
"96",133,9.755811e-13,215,57,5
"97",130,9.904747e-13,241,106,3
"98",136,1.019863e-12,96,92,2
"99",134,1.046196e-12,141,141,6
"100",142,1.050683e-12,169,186,22
"101",141,1.053986e-12,64,92,4
"102",134,1.068391e-12,142,141,6
"103",141,1.076458e-12,65,89,5
"104",141,1.087915e-12,67,89,4
"105",130,1.091585e-12,238,107,4
"106",143,1.107748e-12,112,8,6
"107",139,1.12186e-12,110,17,6
"108",136,1.142738e-12,96,91,3
"109",136,1.149128e-12,97,89,3
"110",142,1.149619e-12,169,187,23
"111",142,1.151478e-12,168,188,23
"112",138,1.157962e-12,39,20,9
"113",129,1.168951e-12,94,154,3
