"","struct_idx","eig_idx","wavevector_idx1","wavevector_idx2","frequency"
"21285185",1024,1,1,1,1621.42028958743
"21285186",1024,1,2,1,1621.42873614597
"21285187",1024,1,3,1,1621.45371687622
"21285188",1024,1,4,1,1621.4941749971
"21285189",1024,1,5,1,1621.54841557593
"21285190",1024,1,6,1,1621.6142032734
"21285191",1024,1,7,1,1621.68889515016
"21285192",1024,1,8,1,1621.76960364731
"21285193",1024,1,9,1,1621.85338254428
"21285194",1024,1,10,1,1621.9374261889
"21285195",1024,1,11,1,1622.01926996702
"21285196",1024,1,12,1,1622.09697831564
"21285197",1024,1,13,1,1622.16930605582
"21285198",1024,1,14,1,1622.23581976479
"21285199",1024,1,15,1,1622.29696841032
"21285200",1024,1,16,1,1622.35409633276
"21285201",1024,1,17,1,1622.40939641793
"21285202",1024,1,18,1,1622.46580633836
"21285203",1024,1,19,1,1622.52685541274
"21285204",1024,1,20,1,1622.59647340996
"21285205",1024,1,21,1,1622.67877515533
"21285206",1024,1,22,1,1622.77783593425
"21285207",1024,1,23,1,1622.89747246204
"21285208",1024,1,24,1,1623.04104276057
"21285209",1024,1,25,1,1623.21127590127
"21285210",1024,1,26,1,1623.4101395448
"21285211",1024,1,27,1,1623.6387498606
"21285212",1024,1,28,1,1623.8973250769
"21285213",1024,1,29,1,1624.18518089938
"21285214",1024,1,30,1,1624.50076358685
"21285215",1024,1,31,1,1624.84171474148
"21285216",1024,1,32,1,1625.20496091057
"21285217",1024,1,33,1,1625.58682085709
"21285218",1024,1,34,1,1625.98312370703
"21285219",1024,1,35,1,1626.38933194425
"21285220",1024,1,36,1,1626.80066420618
"21285221",1024,1,37,1,1627.21221386163
"21285222",1024,1,38,1,1627.61906029275
"21285223",1024,1,39,1,1628.01637057556
"21285224",1024,1,40,1,1628.39948983195
"21285225",1024,1,41,1,1628.76401893446
"21285226",1024,1,42,1,1629.10587854882
"21285227",1024,1,43,1,1629.42135878595
"21285228",1024,1,44,1,1629.70715410161
"21285229",1024,1,45,1,1629.96038360495
"21285230",1024,1,46,1,1630.17859765449
"21285231",1024,1,47,1,1630.35977250348
"21285232",1024,1,48,1,1630.5022957047
"21285233",1024,1,49,1,1630.6049458286
"21285234",1024,1,50,1,1630.66687058513
"21285235",1024,1,51,1,1630.68756748114
"21285236",1024,1,1,2,1621.06463275341
"21285237",1024,1,2,2,1621.1122149037
"21285238",1024,1,3,2,1621.17613082964
"21285239",1024,1,4,2,1621.25497258276
"21285240",1024,1,5,2,1621.34671209643
"21285241",1024,1,6,2,1621.44880754296
"21285242",1024,1,7,2,1621.5583441795
"21285243",1024,1,8,2,1621.67220447131
"21285244",1024,1,9,2,1621.78725996014
"21285245",1024,1,10,2,1621.90057485321
"21285246",1024,1,11,2,1622.00960903536
"21285247",1024,1,12,2,1622.11240663206
"21285248",1024,1,13,2,1622.20775583432
"21285249",1024,1,14,2,1622.29530675392
"21285250",1024,1,15,2,1622.37563667921
"21285251",1024,1,16,2,1622.45025602988
"21285252",1024,1,17,2,1622.52155309873
"21285253",1024,1,18,2,1622.59268070911
"21285254",1024,1,19,2,1622.6673925886
"21285255",1024,1,20,2,1622.74984105093
"21285256",1024,1,21,2,1622.84435015325
"21285257",1024,1,22,2,1622.95517970912
"21285258",1024,1,23,2,1623.08629540532
"21285259",1024,1,24,2,1623.24115892863
"21285260",1024,1,25,2,1623.4225496762
"21285261",1024,1,26,2,1623.63242657639
"21285262",1024,1,27,2,1623.87183510306
"21285263",1024,1,28,2,1624.14086106053
"21285264",1024,1,29,2,1624.43862947534
"21285265",1024,1,30,2,1624.76334423147
"21285266",1024,1,31,2,1625.11236211985
"21285267",1024,1,32,2,1625.4822938259
"21285268",1024,1,33,2,1625.86912402062
"21285269",1024,1,34,2,1626.26834302804
"21285270",1024,1,35,2,1626.67508332883
"21285271",1024,1,36,2,1627.08425521891
"21285272",1024,1,37,2,1627.49067708099
"21285273",1024,1,38,2,1627.88919679241
"21285274",1024,1,39,2,1628.27480169242
"21285275",1024,1,40,2,1628.64271522682
"21285276",1024,1,41,2,1628.98847890036
"21285277",1024,1,42,2,1629.30801855469
"21285278",1024,1,43,2,1629.59769434266
"21285279",1024,1,44,2,1629.85433418235
"21285280",1024,1,45,2,1630.07525102313
"21285281",1024,1,46,2,1630.2582449835
"21285282",1024,1,47,2,1630.40159230042
"21285283",1024,1,48,2,1630.50402397239
"21285284",1024,1,49,2,1630.56469781984
"21285285",1024,1,50,2,1630.58316823276
"21285286",1024,1,51,2,1630.55935793933
"21285287",1024,1,1,3,1620.00119236308
"21285288",1024,1,2,3,1620.0869343611
"21285289",1024,1,3,3,1620.18914125961
"21285290",1024,1,4,3,1620.30604007305
"21285291",1024,1,5,3,1620.4352579951
"21285292",1024,1,6,3,1620.57393900012
"21285293",1024,1,7,3,1620.71889454998
"21285294",1024,1,8,3,1620.86678273089
"21285295",1024,1,9,3,1621.01430777816
"21285296",1024,1,10,3,1621.15842945409
"21285297",1024,1,11,3,1621.29656952591
"21285298",1024,1,12,3,1621.42680113021
"21285299",1024,1,13,3,1621.54800655185
"21285300",1024,1,14,3,1621.65999018328
"21285301",1024,1,15,3,1621.76353620059
"21285302",1024,1,16,3,1621.86040455548
"21285303",1024,1,17,3,1621.9532637579
"21285304",1024,1,18,3,1622.04556400822
"21285305",1024,1,19,3,1622.14135893071
"21285306",1024,1,20,3,1622.24508797407
"21285307",1024,1,21,3,1622.36133416541
"21285308",1024,1,22,3,1622.49457318882
"21285309",1024,1,23,3,1622.64892971203
"21285310",1024,1,24,3,1622.82795561054
"21285311",1024,1,25,3,1623.03444242212
"21285312",1024,1,26,3,1623.27027725202
"21285313",1024,1,27,3,1623.53634774445
"21285314",1024,1,28,3,1623.83249798427
"21285315",1024,1,29,3,1624.15753364955
"21285316",1024,1,30,3,1624.50927172344
"21285317",1024,1,31,3,1624.88462782957
"21285318",1024,1,32,3,1625.27973290209
"21285319",1024,1,33,3,1625.69007043041
"21285320",1024,1,34,3,1626.11062580684
"21285321",1024,1,35,3,1626.53604015557
"21285322",1024,1,36,3,1626.96076220038
"21285323",1024,1,37,3,1627.37919301874
"21285324",1024,1,38,3,1627.78581975779
"21285325",1024,1,39,3,1628.17533544058
"21285326",1024,1,40,3,1628.54274282515
"21285327",1024,1,41,3,1628.88344091017
"21285328",1024,1,42,3,1629.19329316883
"21285329",1024,1,43,3,1629.4686770284
"21285330",1024,1,44,3,1629.70651458996
"21285331",1024,1,45,3,1629.9042851817
