Geometry,C11,C12,C22,C16,C26,C66,
000000000000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,
000000000000001,0.86522345,0.81670014,0.86522345,0.00000000,0.00000000,0.86564630,
000000000000010,0.72465700,0.65918164,0.72465700,0.00000000,0.00000000,0.75813002,
000000000000011,0.66087393,0.57708284,0.66087393,0.00000000,0.00000000,0.65452198,
000000000000100,0.87170744,0.82262762,0.87170744,0.00000000,0.00000000,0.86342614,
000000000000101,0.71484609,0.63970246,0.71484609,0.00000000,0.00000000,0.75511841,
000000000000110,0.59877826,0.46703956,0.59877826,0.00000000,0.00000000,0.49654922,
000000000000111,0.59324124,0.45823590,0.59324124,0.00000000,0.00000000,0.49591597,
000000000001000,0.73864523,0.66429794,0.73864523,0.00000000,0.00000000,0.76723519,
000000000001001,0.68432291,0.56713013,0.68432291,0.00000000,0.00000000,0.52558532,
000000000001010,0.54121534,0.44886275,0.54121534,0.00000000,0.00000000,0.56251457,
000000000001011,0.45973536,0.34640986,0.45973536,0.00000000,0.00000000,0.41462293,
000000000001100,0.60225324,0.52783661,0.60225324,0.00000000,0.00000000,0.66420365,
000000000001101,0.56507181,0.47532692,0.56507181,0.00000000,0.00000000,0.48949418,
000000000001110,0.45782558,0.34492673,0.45782558,0.00000000,0.00000000,0.39745061,
000000000001111,0.45435037,0.33823484,0.45435037,0.00000000,0.00000000,0.39579319,
000000000010000,0.74398769,0.67202692,0.74398769,0.00000000,0.00000000,0.76545211,
000000000010001,0.64510871,0.57849957,0.64510871,0.00000000,0.00000000,0.69705168,
000000000010010,0.52982653,0.43655973,0.52982653,0.00000000,0.00000000,0.57375910,
000000000010011,0.48477971,0.37939101,0.48477971,0.00000000,0.00000000,0.47601678,
000000000010100,0.64362039,0.53146922,0.64362039,0.00000000,0.00000000,0.57712911,
000000000010101,0.51643518,0.43264629,0.51643518,0.00000000,0.00000000,0.54720934,
000000000010110,0.41330825,0.27612969,0.41330825,0.00000000,0.00000000,0.24479933,
000000000010111,0.40810630,0.26993165,0.40810630,0.00000000,0.00000000,0.24472872,
000000000011000,0.47888618,0.36108588,0.47888618,0.00000000,0.00000000,0.43872538,
000000000011001,0.47249469,0.34896939,0.47249469,0.00000000,0.00000000,0.33220660,
000000000011010,0.43439201,0.33372715,0.43439201,0.00000000,0.00000000,0.37035073,
000000000011011,0.39854041,0.26175557,0.39854041,0.00000000,0.00000000,0.23936316,
000000000011100,0.40603651,0.27332292,0.40603651,0.00000000,0.00000000,0.24592925,
