VF,Class
0,1
0.0199,1
0.0396,1
0.0591,1
0.0784,1
0.0975,1
0.1164,1
0.1351,1
0.1536,1
0.1719,1
0.19,1
0.2079,1
0.2256,1
0.2431,1
0.2604,1
0.2775,1
0.2944,1
0.3111,1
0.3276,1
0.3439,1
0.36,1
0.3759,1
0.3916,1
0.4071,1
0.4224,1
0.4375,1
0.4524,1
0.4671,1
0.4816,1
0.4959,1
0.51,1
0.5239,1
0.5376,1
0.5511,1
0.5644,1
0.5775,1
0.5904,1
0.6031,1
0.6156,1
0.6279,1
0.64,1
0.6519,1
0.6636,1
0.6751,1
0.6864,1
0.6975,1
0.7084,1
0.7191,1
0.7296,1
0.7399,1
0.75,1
0.7599,1
0.7696,1
0.7791,1
0.7975,1
0.8064,1
0.8151,1
0.8236,1
0.8319,1
0.8479,1
0.8556,1
0.8631,1
0.8775,1
0.8844,1
0.8976,1
0.9039,1
0.91,1
0.9159,1
0.9216,1
0.9271,1
0.9324,1
0.9375,1
0.9424,1
0.9471,1
0.9516,1
0.9559,1
0.96,1
0.9639,1
0.9676,1
0.9711,1
0.9744,1
0.9775,1
0.9804,1
0.9831,1
0.9856,1
0.9879,1
0.99,1
0.9919,1
0.9936,1
0.9951,1
0.9964,1
0.9975,1
0.9984,1
1,1
0,2
0.0298,2
0.0688,2
0.107,2
0.1444,2
0.181,2
0.2168,2
0.2518,2
0.286,2
0.3194,2
0.352,2
0.3838,2
0.4148,2
0.445,2
0.4744,2
0.503,2
0.5308,2
0.5578,2
0.584,2
0.6094,2
0.634,2
0.6578,2
0.6808,2
0.703,2
0.7244,2
0.745,2
0.7648,2
0.7838,2
0.802,2
0.8194,2
0.836,2
0.8518,2
0.8668,2
0.881,2
0.8944,2
0.907,2
0.9188,2
0.9298,2
0.94,2
0.9494,2
0.958,2
0.9658,2
0.9728,2
0.979,2
0.9844,2
0.989,2
0.9928,2
0.9958,2
0.998,2
1,2
0,3
0.0396,3
0.0591,3
0.0975,3
0.1164,3
0.1536,3
0.1719,3
0.2079,3
0.2256,3
0.2604,3
0.2775,3
0.3111,3
0.3276,3
0.36,3
0.3759,3
0.4071,3
0.4224,3
0.4524,3
0.4671,3
0.4959,3
0.51,3
0.5376,3
0.5511,3
0.5775,3
0.5904,3
0.6156,3
0.6279,3
0.6519,3
0.6636,3
0.6864,3
0.6975,3
0.7191,3
0.7296,3
0.75,3
0.7599,3
0.7791,3
0.7884,3
0.8064,3
0.8151,3
0.8319,3
0.84,3
0.8556,3
0.8631,3
0.8775,3
0.8844,3
0.8976,3
0.9039,3
0.9159,3
0.9216,3
0.9324,3
0.9375,3
0.9471,3
0.9516,3
0.96,3
0.9639,3
0.9711,3
0.9744,3
0.9804,3
0.9831,3
0.9879,3
0.99,3
0.9936,3
0.9951,3
0.9975,3
