C11,C12,C13,C22,C23,C33
1.10E-09,3.30E-10,4.12E-22,1.10E-09,4.17E-22,3.85E-10
0.010025898,3.70E-05,8.71E-15,0.010025898,7.06E-15,5.69E-07
0.020078733,0.000149331,1.68E-14,0.020078733,1.61E-14,4.22E-06
0.03016088,0.000335676,2.39E-14,0.03016088,2.57E-14,1.41E-05
0.0402737,0.000596188,3.25E-14,0.0402737,3.09E-14,3.36E-05
0.050418305,0.000931349,3.92E-14,0.050418305,4.06E-14,6.60E-05
0.060595746,0.001341764,4.90E-14,0.060595746,4.94E-14,0.000114823
0.070807053,0.001828095,5.56E-14,0.070807053,5.56E-14,0.000183842
0.081053256,0.002391043,6.37E-14,0.081053256,6.38E-14,0.000276837
0.091335392,0.003031336,7.09E-14,0.091335392,7.62E-14,0.000397788
0.101654507,0.003749729,7.90E-14,0.101654507,7.76E-14,0.00055084
0.112011661,0.004546999,8.62E-14,0.112011661,8.98E-14,0.000740313
0.122407928,0.005423947,9.07E-14,0.122407928,9.16E-14,0.000970712
0.132844403,0.006381395,1.02E-13,0.132844403,1.00E-13,0.001246728
0.143322193,0.00742019,1.07E-13,0.143322193,1.11E-13,0.001573251
0.153842427,0.0085412,1.15E-13,0.153842427,1.12E-13,0.001955372
0.164406255,0.009745317,1.24E-13,0.164406255,1.28E-13,0.002398393
0.175014844,0.011033455,1.26E-13,0.175014844,1.31E-13,0.002907825
0.185669386,0.012406555,1.33E-13,0.185669386,1.37E-13,0.003489396
0.196371091,0.013865582,1.44E-13,0.196371091,1.40E-13,0.004149047
0.207121196,0.015411523,1.50E-13,0.207121196,1.55E-13,0.004892938
0.217920959,0.017045397,1.53E-13,0.217920959,1.55E-13,0.005727442
0.228771663,0.018768243,1.67E-13,0.228771663,1.63E-13,0.00665914
0.239674613,0.020581131,1.68E-13,0.239674613,1.68E-13,0.007694816
0.25063114,0.022485156,1.74E-13,0.25063114,1.82E-13,0.008841445
0.261642596,0.024481438,1.83E-13,0.261642596,1.81E-13,0.010106183
0.272710351,0.026571132,1.87E-13,0.272710351,1.88E-13,0.011496348
0.283835801,0.028755423,1.92E-13,0.283835801,1.88E-13,0.0130194
0.295020367,0.031035536,2.03E-13,0.295020367,2.00E-13,0.01468292
0.306265504,0.033412745,2.08E-13,0.306265504,2.10E-13,0.016494575
0.317572719,0.035888384,2.09E-13,0.317572719,2.14E-13,0.018462092
0.328943589,0.038463856,2.17E-13,0.328943589,2.14E-13,0.020593212
0.34037979,0.041140648,2.28E-13,0.34037979,2.22E-13,0.022895653
0.351883122,0.043920345,2.27E-13,0.351883122,2.31E-13,0.025377054
0.363455549,0.046804629,2.35E-13,0.363455549,2.34E-13,0.028044923
0.375099223,0.049795293,2.34E-13,0.375099223,2.37E-13,0.030906577
0.38681651,0.052894235,2.45E-13,0.38681651,2.42E-13,0.033969074
0.398610016,0.056103446,2.55E-13,0.398610016,2.54E-13,0.037239137
0.410482585,0.059425001,2.57E-13,0.410482585,2.52E-13,0.040723084
0.422437305,0.062861029,2.62E-13,0.422437305,2.58E-13,0.044426736
0.434477483,0.066413685,2.64E-13,0.434477483,2.65E-13,0.048355338
0.446606614,0.070085106,2.73E-13,0.446606614,2.71E-13,0.052513461
0.458828333,0.073877363,2.79E-13,0.458828333,2.74E-13,0.056904916
0.471146349,0.07779241,2.80E-13,0.471146349,2.85E-13,0.061532655
0.483564371,0.081832017,2.83E-13,0.483564371,2.86E-13,0.066398678
0.496086013,0.085997709,2.89E-13,0.496086013,2.92E-13,0.071503944
0.508714698,0.090290693,2.96E-13,0.508714698,2.96E-13,0.076848282
0.521453548,0.094711786,3.05E-13,0.521453548,3.02E-13,0.082430311
0.534305272,0.099261344,3.03E-13,0.534305272,3.00E-13,0.08824737
0.547272051,0.103939189,3.05E-13,0.547272051,3.07E-13,0.094295455
0.560355421,0.108744544,3.12E-13,0.560355421,3.13E-13,0.100569175
0.57355616,0.113675965,3.13E-13,0.57355616,3.13E-13,0.107061719
0.586874189,0.118731289,3.20E-13,0.586874189,3.22E-13,0.113764844
0.600308465,0.123907581,3.27E-13,0.600308465,3.24E-13,0.120668876
0.627516266,0.134607273,3.35E-13,0.627516266,3.29E-13,0.135034002
0.641282164,0.140120665,3.35E-13,0.641282164,3.34E-13,0.142468935
0.655148938,0.145734991,3.37E-13,0.655148938,3.42E-13,0.150052602
0.669109652,0.151443117,3.45E-13,0.669109652,3.38E-13,0.15776896
0.683156065,0.157237081,3.46E-13,0.683156065,3.43E-13,0.165600974
0.711466409,0.169046723,3.52E-13,0.711466409,3.49E-13,0.181539695
0.725707256,0.175042667,3.60E-13,0.725707256,3.56E-13,0.189608624
0.739987664,0.181085088,3.59E-13,0.739987664,3.61E-13,0.197717956
0.768606925,0.193263078,3.67E-13,0.768606925,3.70E-13,0.213978363
0.78291263,0.199374313,3.70E-13,0.78291263,3.67E-13,0.22208959
0.811424724,0.211577654,3.76E-13,0.811424724,3.71E-13,0.238175636
